日期,淨值,MA_7,MA_15,MA_30
2022/10/14,7.6,7.6,7.6,7.6
2022/10/13,7.45,7.525,7.525,7.525
2022/10/12,7.55,7.533333333333334,7.533333333333334,7.533333333333334
2022/10/11,7.55,7.5375,7.5375,7.5375
2022/10/07,7.7,7.57,7.57,7.57
2022/10/06,7.82,7.611666666666667,7.611666666666667,7.611666666666667
2022/10/05,7.78,7.635714285714286,7.635714285714286,7.635714285714286
2022/10/04,7.77,7.659999999999999,7.6525,7.6525
2022/10/03,7.58,7.678571428571429,7.644444444444444,7.644444444444444
2022/09/30,7.59,7.684285714285714,7.639,7.639
2022/09/29,7.6,7.691428571428572,7.635454545454545,7.635454545454545
2022/09/28,7.61,7.678571428571429,7.633333333333333,7.633333333333333
2022/09/27,7.67,7.657142857142857,7.636153846153846,7.636153846153846
2022/09/26,7.67,7.641428571428571,7.638571428571429,7.638571428571429
2022/09/23,7.69,7.630000000000001,7.6419999999999995,7.6419999999999995
2022/09/22,7.82,7.6642857142857155,7.656666666666667,7.653125
2022/09/21,7.94,7.714285714285714,7.689333333333334,7.669999999999999
2022/09/20,7.94,7.7628571428571425,7.715333333333334,7.6850000000000005
2022/09/19,7.95,7.811428571428571,7.742,7.698947368421052
2022/09/16,7.94,7.8500000000000005,7.758,7.711
2022/09/15,8.1,7.911428571428572,7.776666666666667,7.729523809523809
2022/09/14,8.14,7.975714285714285,7.800666666666666,7.748181818181819
2022/09/13,8.22,8.032857142857143,7.8306666666666676,7.768695652173913
2022/09/12,8.34,8.09,7.881333333333333,7.7925
2022/09/09,8.25,8.134285714285715,7.925333333333333,7.8108
2022/09/08,8.14,8.161428571428571,7.961333333333333,7.8234615384615385
2022/09/07,8.06,8.178571428571429,7.991333333333333,7.832222222222222
2022/09/06,8.06,8.172857142857143,8.017333333333333,7.840357142857143
2022/09/02,8.11,8.168571428571429,8.046666666666667,7.849655172413794
2022/09/01,8.07,8.147142857142857,8.072000000000001,7.857
2022/08/31,8.18,8.124285714285714,8.096,7.876333333333334
2022/08/30,8.22,8.120000000000001,8.114666666666666,7.902
2022/08/29,8.23,8.132857142857143,8.134,7.924666666666667
2022/08/26,8.4,8.181428571428572,8.164,7.953
2022/08/25,8.37,8.225714285714286,8.192666666666666,7.975333333333334
2022/08/24,8.34,8.258571428571429,8.208666666666666,7.9926666666666675
2022/08/23,8.33,8.295714285714286,8.221333333333334,8.011000000000001
2022/08/22,8.35,8.32,8.229999999999999,8.030333333333333
2022/08/19,8.45,8.352857142857143,8.237333333333334,8.059333333333333
2022/08/18,8.5,8.391428571428571,8.254,8.089666666666668
2022/08/17,8.51,8.407142857142857,8.278666666666668,8.12
